,sector_id,sector_nombre,variable_id,actividad_producto_nombre,indicador,unidad_de_medida,fuente,frecuencia_nombre,cobertura_nombre,alcance_tipo,alcance_id,alcance_nombre,indice_tiempo,valor
60,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-01-01,3387.187
61,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-02-01,3291.326
62,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-03-01,3950.112
63,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-04-01,3410.116
64,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-05-01,4229.613
65,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-06-01,4150.644
66,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-07-01,4701.008
67,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-08-01,5483.453
68,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-09-01,6072.845
69,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-10-01,6923.723
70,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-11-01,6757.148
71,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2017-12-01,6383.182
72,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2018-01-01,6962.233
73,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2018-02-01,5691.346
74,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2018-03-01,8507.65
75,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2018-04-01,9635.72
76,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2018-05-01,11308.623
